SurveyID,Data_Source,Region,System,Waterbody,Species,Life Stage,IndexType,Year,n,n_pos,prop_pos,Index,SE,CV,LCI,UCI,ForModelingUse
22,CT_LIS_Trawl_Spring,,Long Island Sound,Atlantic Ocean,Alewife,Trawl_TBD,Stratified arithmetic mean,1984,32,9,0.28,1.17,0.28,0.23,,,1
22,CT_LIS_Trawl_Spring,,Long Island Sound,Atlantic Ocean,Alewife,Trawl_TBD,Stratified arithmetic mean,1985,46,5,0.1,0.07,0.03,0.45,,,1
22,CT_LIS_Trawl_Spring,,Long Island Sound,Atlantic Ocean,Alewife,Trawl_TBD,Stratified arithmetic mean,1986,116,40,0.34,1.1,0.26,0.23,,,1
22,CT_LIS_Trawl_Spring,,Long Island Sound,Atlantic Ocean,Alewife,Trawl_TBD,Stratified arithmetic mean,1987,120,52,0.43,3.87,2.03,0.52,,,1
22,CT_LIS_Trawl_Spring,,Long Island Sound,Atlantic Ocean,Alewife,Trawl_TBD,Stratified arithmetic mean,1988,120,43,0.35,0.79,0.15,0.19,,,1
22,CT_LIS_Trawl_Spring,,Long Island Sound,Atlantic Ocean,Alewife,Trawl_TBD,Stratified arithmetic mean,1989,120,55,0.45,0.98,0.16,0.16,,,1
22,CT_LIS_Trawl_Spring,,Long Island Sound,Atlantic Ocean,Alewife,Trawl_TBD,Stratified arithmetic mean,1990,120,43,0.35,0.83,0.18,0.21,,,1
22,CT_LIS_Trawl_Spring,,Long Island Sound,Atlantic Ocean,Alewife,Trawl_TBD,Stratified arithmetic mean,1991,120,36,0.3,0.51,0.1,0.2,,,1
22,CT_LIS_Trawl_Spring,,Long Island Sound,Atlantic Ocean,Alewife,Trawl_TBD,Stratified arithmetic mean,1992,80,24,0.3,0.78,0.22,0.28,,,1
22,CT_LIS_Trawl_Spring,,Long Island Sound,Atlantic Ocean,Alewife,Trawl_TBD,Stratified arithmetic mean,1993,120,48,0.4,4.15,1.12,0.27,,,1
22,CT_LIS_Trawl_Spring,,Long Island Sound,Atlantic Ocean,Alewife,Trawl_TBD,Stratified arithmetic mean,1994,120,65,0.54,6.59,1.63,0.24,,,1
22,CT_LIS_Trawl_Spring,,Long Island Sound,Atlantic Ocean,Alewife,Trawl_TBD,Stratified arithmetic mean,1995,120,46,0.38,2.09,0.41,0.19,,,1
22,CT_LIS_Trawl_Spring,,Long Island Sound,Atlantic Ocean,Alewife,Trawl_TBD,Stratified arithmetic mean,1996,120,63,0.52,7.66,1.68,0.21,,,1
22,CT_LIS_Trawl_Spring,,Long Island Sound,Atlantic Ocean,Alewife,Trawl_TBD,Stratified arithmetic mean,1997,120,63,0.52,5.99,1.26,0.21,,,1
22,CT_LIS_Trawl_Spring,,Long Island Sound,Atlantic Ocean,Alewife,Trawl_TBD,Stratified arithmetic mean,1998,120,51,0.42,2.43,0.51,0.21,,,1
22,CT_LIS_Trawl_Spring,,Long Island Sound,Atlantic Ocean,Alewife,Trawl_TBD,Stratified arithmetic mean,1999,120,68,0.56,7.41,2.79,0.37,,,1
22,CT_LIS_Trawl_Spring,,Long Island Sound,Atlantic Ocean,Alewife,Trawl_TBD,Stratified arithmetic mean,2000,120,53,0.44,8.74,2.86,0.32,,,1
22,CT_LIS_Trawl_Spring,,Long Island Sound,Atlantic Ocean,Alewife,Trawl_TBD,Stratified arithmetic mean,2001,120,43,0.35,3.42,0.9,0.26,,,1
22,CT_LIS_Trawl_Spring,,Long Island Sound,Atlantic Ocean,Alewife,Trawl_TBD,Stratified arithmetic mean,2002,120,38,0.31,5.03,1.82,0.36,,,1
22,CT_LIS_Trawl_Spring,,Long Island Sound,Atlantic Ocean,Alewife,Trawl_TBD,Stratified arithmetic mean,2003,120,62,0.51,3.89,1.08,0.27,,,1
22,CT_LIS_Trawl_Spring,,Long Island Sound,Atlantic Ocean,Alewife,Trawl_TBD,Stratified arithmetic mean,2004,119,65,0.54,4.44,0.86,0.19,,,1
22,CT_LIS_Trawl_Spring,,Long Island Sound,Atlantic Ocean,Alewife,Trawl_TBD,Stratified arithmetic mean,2005,120,53,0.44,4.02,0.85,0.21,,,1
